Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9978235662698746,0.006663050250771145,0.8852165876309077,0.8821529987834394,24.350813021752803,0.7915401777235607
2,1.0000000003019969,0.004753534048361083,0.9999999982198079,0.9999999986012776,24.94226930646672,0.8034240691057027
3,0.9999999999046326,0.00438711745881786,0.9999999992847443,0.9999999992847443,25.003270624702893,0.815056976688205
4,0.9999999999682109,0.00425219969941924,0.9999999990781149,0.9999999991734823,25.278944599792673,0.8180101926166312
5,1.0,0.004102484704429905,0.9999999995390574,0.999999999554952,25.33522331597416,0.8193568927909646
6,1.0,0.004021898992483814,0.9999999998410543,0.999999999888738,25.347094469960677,0.8197200191985272
7,1.0,0.003978314508373539,0.9999999999046326,0.9999999999046326,25.438026637644178,0.8228820685135961
8,1.0,0.003913539388092855,0.9999999999205271,0.9999999999205271,25.476559698009986,0.8243375928708762
9,1.0,0.0038777618035053213,1.0,1.0,25.500355168077256,0.8257432336056785
10,1.0,0.0038437457383299865,1.0,1.0,25.47516464710035,0.8241831299817844
11,1.0,0.003813012997247279,0.9999999999841054,0.9999999999841054,25.48977016078323,0.8261454330898621
12,1.0,0.003789288434696694,0.9999999999841054,0.9999999999841054,25.55773432998247,0.8285977697803931
13,1.0,0.003764022892092665,1.0,1.0,25.572384852530575,0.8291981977446653
14,1.0,0.00374695381646355,1.0,1.0,25.55516144396716,0.8279945309156657
15,1.0,0.0037293923425177735,1.0,1.0,25.594240422371612,0.8292304032767442
16,1.0,0.003711738731339574,1.0,1.0,25.578954216928693,0.8290711287355056
17,1.0,0.0036995111271118123,1.0,1.0,25.596967436687684,0.8284026398061335
18,1.0,0.0036826722507675488,1.0,1.0,25.56578750777866,0.8271773124549308
19,1.0,0.0036708002733066678,1.0,1.0,25.593391237981194,0.8296305650938107
20,1.0,0.003658581454058488,1.0,1.0,25.63121640579101,0.8284829172143077
